,Date,Time,Name,Message
2,08-07-2019,01-01-1900 18:47,Sunil,XYZ
3,08-07-2019,01-01-1900 20:02,Sunil,XYZ
4,08-07-2019,01-01-1900 20:56,Sunil,XYZ
5,08-07-2019,01-01-1900 20:58,Sunil,XYZ
6,08-07-2019,01-01-1900 20:58,Sunil,XYZ
7,08-07-2019,01-01-1900 21:21,Aswathi,XYZ
8,08-07-2019,01-01-1900 21:21,Aswathi,XYZ
9,08-07-2019,01-01-1900 21:29,Aswathi,XYZ
10,08-07-2019,01-01-1900 21:39,Vikram,XYZ
11,08-07-2019,01-01-1900 21:39,Vikram,XYZ
12,08-07-2019,01-01-1900 21:42,Simmy,XYZ
13,09-07-2019,01-01-1900 01:17,Ram,XYZ
14,09-07-2019,01-01-1900 07:14,Raghu,XYZ
15,09-07-2019,01-01-1900 07:18,Vikram,XYZ
16,09-07-2019,01-01-1900 08:05,Aswathi,XYZ
17,09-07-2019,01-01-1900 19:34,Ram,XYZ
18,09-07-2019,01-01-1900 19:34,Ram,XYZ
19,09-07-2019,01-01-1900 19:34,Ram,XYZ
20,09-07-2019,01-01-1900 19:34,Ram,XYZ
21,09-07-2019,01-01-1900 19:37,Aswathi,XYZ
22,09-07-2019,01-01-1900 19:45,Ram,XYZ
23,09-07-2019,01-01-1900 19:46,Ram,XYZ
24,09-07-2019,01-01-1900 19:48,Aswathi,XYZ
25,09-07-2019,01-01-1900 19:48,Ram,XYZ
26,09-07-2019,01-01-1900 19:48,Aswathi,XYZ
27,09-07-2019,01-01-1900 20:51,Ram,XYZ
28,10-07-2019,01-01-1900 08:19,Raghu,XYZ
29,10-07-2019,01-01-1900 08:27,Ram,XYZ
30,10-07-2019,01-01-1900 08:28,Ram,XYZ
31,10-07-2019,01-01-1900 13:17,Aswathi,XYZ
32,10-07-2019,01-01-1900 13:17,Aswathi,XYZ
33,10-07-2019,01-01-1900 13:17,Aswathi,XYZ
34,10-07-2019,01-01-1900 13:28,Raghu New,XYZ
35,10-07-2019,01-01-1900 13:49,Raghu,XYZ
36,10-07-2019,01-01-1900 13:49,Raghu,XYZ
37,10-07-2019,01-01-1900 17:44,Ram,XYZ
38,10-07-2019,01-01-1900 18:24,Sunil,XYZ
39,10-07-2019,01-01-1900 18:28,Sunil,XYZ
40,10-07-2019,01-01-1900 18:44,Vikram,XYZ
41,10-07-2019,01-01-1900 18:53,Ram,XYZ
42,10-07-2019,01-01-1900 19:29,Ram,XYZ
43,10-07-2019,01-01-1900 19:40,Vikram,XYZ
44,10-07-2019,01-01-1900 19:41,Ram,XYZ
45,10-07-2019,01-01-1900 19:41,Ram,XYZ
46,10-07-2019,01-01-1900 19:51,Vikram,XYZ
47,10-07-2019,01-01-1900 19:51,Vikram,XYZ
48,10-07-2019,01-01-1900 19:52,Aswathi,XYZ
49,10-07-2019,01-01-1900 20:14,Ram,XYZ
50,10-07-2019,01-01-1900 22:35,Raghu New,XYZ
51,10-07-2019,01-01-1900 22:35,Raghu New,XYZ
52,10-07-2019,01-01-1900 22:35,Raghu New,XYZ
53,11-07-2019,01-01-1900 04:18,Ram,XYZ
54,11-07-2019,01-01-1900 05:41,Raghu,XYZ
55,11-07-2019,01-01-1900 07:57,Simmy,XYZ
56,11-07-2019,01-01-1900 07:57,Raghu,XYZ
57,11-07-2019,01-01-1900 07:58,Vikram,XYZ
58,11-07-2019,01-01-1900 09:38,Sethu,XYZ
59,11-07-2019,01-01-1900 09:41,Aswathi,XYZ
60,11-07-2019,01-01-1900 18:43,Priya,XYZ
61,11-07-2019,01-01-1900 19:27,Aswathi,XYZ
62,11-07-2019,01-01-1900 19:33,Priya,XYZ
63,11-07-2019,01-01-1900 19:34,Priya,XYZ
64,11-07-2019,01-01-1900 21:27,Raghu,XYZ
65,11-07-2019,01-01-1900 23:11,Sethu,XYZ
66,11-07-2019,01-01-1900 23:14,Aswathi,XYZ
67,11-07-2019,01-01-1900 23:34,Vikram,XYZ
68,11-07-2019,01-01-1900 23:34,Vikram,XYZ
69,12-07-2019,01-01-1900 08:07,Raghu,XYZ
70,12-07-2019,01-01-1900 08:29,Vikram,XYZ
71,12-07-2019,01-01-1900 09:36,Aswathi,XYZ
72,12-07-2019,01-01-1900 09:38,Simmy,XYZ
73,12-07-2019,01-01-1900 10:03,Sunil,XYZ
74,12-07-2019,01-01-1900 10:03,Sunil,XYZ
75,12-07-2019,01-01-1900 10:03,Sunil,XYZ
76,12-07-2019,01-01-1900 10:03,Sunil,XYZ
77,12-07-2019,01-01-1900 10:03,Sunil,XYZ
78,12-07-2019,01-01-1900 10:03,Sunil,XYZ
79,12-07-2019,01-01-1900 10:03,Sunil,XYZ
80,12-07-2019,01-01-1900 10:05,Vikram,XYZ
81,12-07-2019,01-01-1900 10:05,Vikram,XYZ
82,12-07-2019,01-01-1900 10:13,Priya,XYZ
83,12-07-2019,01-01-1900 14:31,Sunil,XYZ
84,12-07-2019,01-01-1900 14:31,Sunil,XYZ
85,12-07-2019,01-01-1900 14:31,Sunil,XYZ
86,12-07-2019,01-01-1900 14:45,Vikram,XYZ
87,12-07-2019,01-01-1900 14:46,Aswathi,XYZ
88,12-07-2019,01-01-1900 14:46,Aswathi,XYZ
89,12-07-2019,01-01-1900 15:15,Raghu New,XYZ
90,13-07-2019,01-01-1900 06:31,Simmy,XYZ
91,13-07-2019,01-01-1900 08:08,Raghu,XYZ
92,13-07-2019,01-01-1900 08:11,Vikram,XYZ
93,13-07-2019,01-01-1900 10:04,Aswathi,XYZ
94,13-07-2019,01-01-1900 10:05,Ram,XYZ
95,13-07-2019,01-01-1900 10:26,Sethu,XYZ
96,13-07-2019,01-01-1900 10:26,Sethu,XYZ
97,13-07-2019,01-01-1900 17:22,Ram,XYZ
98,13-07-2019,01-01-1900 17:25,Sethu,XYZ
99,13-07-2019,01-01-1900 17:27,Ram,XYZ
100,13-07-2019,01-01-1900 17:28,Priya,XYZ
101,13-07-2019,01-01-1900 17:29,Ram,XYZ
102,13-07-2019,01-01-1900 17:30,Priya,XYZ
103,13-07-2019,01-01-1900 17:30,Priya,XYZ
104,13-07-2019,01-01-1900 17:30,Ram,XYZ
105,13-07-2019,01-01-1900 17:33,Priya,XYZ
106,13-07-2019,01-01-1900 17:33,Ram,XYZ
107,13-07-2019,01-01-1900 17:33,Priya,XYZ
108,13-07-2019,01-01-1900 17:33,Priya,XYZ
109,13-07-2019,01-01-1900 17:33,Priya,XYZ
110,13-07-2019,01-01-1900 17:33,Priya,XYZ
111,13-07-2019,01-01-1900 17:33,Priya,XYZ
112,13-07-2019,01-01-1900 17:34,Priya,XYZ
113,13-07-2019,01-01-1900 17:35,Ram,XYZ
114,13-07-2019,01-01-1900 17:35,Ram,XYZ
115,13-07-2019,01-01-1900 17:36,Sunil,XYZ
116,13-07-2019,01-01-1900 17:38,Aswathi,XYZ
117,13-07-2019,01-01-1900 17:39,Aswathi,XYZ
118,13-07-2019,01-01-1900 17:40,Priya,XYZ
119,13-07-2019,01-01-1900 17:41,Priya,XYZ
120,13-07-2019,01-01-1900 17:41,Priya,XYZ
121,13-07-2019,01-01-1900 17:41,Priya,XYZ
122,13-07-2019,01-01-1900 17:50,Priya,XYZ
123,13-07-2019,01-01-1900 17:50,Priya,XYZ
124,13-07-2019,01-01-1900 18:04,Priya,XYZ
125,13-07-2019,01-01-1900 18:04,Priya,XYZ
126,13-07-2019,01-01-1900 18:05,Ram,XYZ
127,13-07-2019,01-01-1900 18:05,Priya,XYZ
128,14-07-2019,01-01-1900 08:44,Raghu,XYZ
129,14-07-2019,01-01-1900 08:48,Vikram,XYZ
130,14-07-2019,01-01-1900 08:48,Vikram,XYZ
131,14-07-2019,01-01-1900 17:47,Priya,XYZ
132,14-07-2019,01-01-1900 17:47,Priya,XYZ
133,14-07-2019,01-01-1900 17:57,Vikram,XYZ
134,14-07-2019,01-01-1900 21:26,Aswathi,XYZ
135,14-07-2019,01-01-1900 21:26,Ram,XYZ
136,14-07-2019,01-01-1900 21:27,Ram,XYZ
137,14-07-2019,01-01-1900 21:27,Aswathi,XYZ
